Идентификатор;Внутренний радиус;Внешний радиус;Цвет
5;122500.0;129000.0;100649060
5;92000.0;122500.0;50317412
5;129000.0;182000.0;50317412
5;182000.0;226000.0;33540196
6;67000.0;74500.0;184509695
6;74500.0;77800.0;687826175
6;77900.0;87500.0;687826175
6;87770.0;88690.0;687826175
6;88720.0;90200.0;687826175
6;90220.0;92000.0;687826175
6;92000.0;117500.0;1358914815
6;117500.0;117680.0;1358914815
6;118042.5;118183.0;1358914815
6;118285.0;118597.0;1358914815
6;118630.0;118931.0;1358914815
6;118969.0;119403.0;1358914815
6;119406.0;119848.0;1358914815
6;120086.0;120236.0;1358914815
6;120246.0;120305.0;1358914815
6;120318.0;122200.0;1358914815
6;122200.0;133407.5;1023370495
6;133762.5;136482.5;1023370495
6;136517.5;136800.0;1023370495
6;136800.0;137630.0;184509695
6;137630.0;137930.0;1358914815
6;137930.0;138900.0;184509695
6;138900.0;139200.0;1358914815
6;139200.0;139380.0;184509695
6;140210.0;140475.0;1023370495
6;165800.0;173800.0;184509695
6;180000.0;480000.0;50291967
6;4000000.0;1.3E7;33514751
7;51149.0;51210.0;1355350015
7;32000.0;37850.0;46727167
7;37000.0;39500.0;46727167
7;37850.0;41350.0;46727167
7;41837.0;41838.9;348717055
7;42234.0;42237.4;348717055
7;42570.0;42573.4;348717055
7;44718.0;44725.4;348717055
7;45661.0;45663.3;348717055
7;47176.0;47216.0;348717055
7;47627.0;47631.15;348717055
7;48300.0;48311.0;348717055
7;50023.0;50024.5;348717055
7;66100.0;69900.0;29949951
7;86000.0;103000.0;29949951
8;40900.0;42900.0;87214280
8;53200.0;53313.0;506644680
8;53313.0;57200.0;87214280
8;62932.0;62964.5;842189000
